user_id,churn_probability,risk_level
user_00133a5c,1.0,High Risk
user_0019cc4c,1.0,High Risk
user_001b7b4d,1.0,High Risk
user_0022e396,1.0,High Risk
user_00243d23,1.0,High Risk
user_00260bbb,1.0,High Risk
user_0035fdb1,1.0,High Risk
user_0044d648,1.0,High Risk
user_004925f5,1.0,High Risk
user_004a9ca4,1.0,High Risk
user_004b71e9,0.9316338148486674,High Risk
user_004ecf3d,0.9844225070385165,High Risk
user_005cda91,1.0,High Risk
user_006afcdd,1.0,High Risk
user_0071b2c0,1.0,High Risk
user_008ead20,1.0,High Risk
user_00939b86,1.0,High Risk
user_009600e4,1.0,High Risk
user_00961569,1.0,High Risk
user_00a5b0f2,0.9907406258944758,High Risk
user_00a98bf0,0.9943263665594856,High Risk
user_00aace68,0.9719821841412037,High Risk
user_00bc0e14,1.0,High Risk
user_00cc1067,1.0,High Risk
user_00f26f50,1.0,High Risk
user_00f74282,1.0,High Risk
user_00f91ad3,1.0,High Risk
user_011155ea,1.0,High Risk
user_011d53cc,0.9787709267497924,High Risk
user_01294a3b,1.0,High Risk
user_012c6d9b,0.996129633691599,High Risk
user_012cf23c,0.9931020328381548,High Risk
user_0132051d,0.8680814455055125,High Risk
user_013408e9,1.0,High Risk
user_0137a201,1.0,High Risk
user_013dd6d4,3.2481287953678855e-05,Low Risk
user_013ec897,1.0,High Risk
user_01486a24,1.0,High Risk
user_014cd5f2,1.0,High Risk
user_014fe6b5,0.9955192991366175,High Risk
user_01528f7f,0.9926032278348355,High Risk
user_015f645c,1.0,High Risk
user_016b35f9,0.9881750679713732,High Risk
user_01820089,0.9907828222881989,High Risk
user_01828fd1,1.0,High Risk
user_01860632,1.0,High Risk
user_0188683a,1.0,High Risk
user_018bdfd6,1.0,High Risk
user_018f5dab,1.0,High Risk
user_0191995a,1.0,High Risk
user_0198715d,1.0,High Risk
user_0199e873,1.0,High Risk
user_01aed9f3,0.9867930258903488,High Risk
user_01b04a29,1.0,High Risk
user_01b7e132,1.0,High Risk
user_01c2c52d,0.9911018658598084,High Risk
user_01c749ef,0.9800122138430416,High Risk
user_01d88518,0.99392180502928,High Risk
user_01d9ffd1,1.0,High Risk
user_01dbfa85,1.0,High Risk
user_01e405e1,1.0,High Risk
user_01ead29f,1.0,High Risk
user_01ec0daa,1.0,High Risk
user_01edafcd,0.9593138199470822,High Risk
user_01f7c6e4,1.0,High Risk
user_0203f60b,0.9510610438177242,High Risk
user_020620fa,1.0,High Risk
user_020e39c7,1.0,High Risk
user_02172159,1.0,High Risk
user_021b2cc0,1.0,High Risk
user_021fded6,1.0,High Risk
user_0225c91e,0.9949929057888762,High Risk
user_0234d2a5,1.0,High Risk
user_02355d25,1.0,High Risk
user_023bb47c,0.9962155495978553,High Risk
user_023bddfe,0.9910499619579001,High Risk
