"date","dau"
"2025-07-03",2189
"2025-07-04",2203
"2025-07-05",2834
"2025-07-06",2861
"2025-07-07",2202
"2025-07-08",2225
"2025-07-09",2214
"2025-07-10",2120
"2025-07-11",2267
"2025-07-12",2926
"2025-07-13",2903
"2025-07-14",2235
"2025-07-15",2197
"2025-07-16",2250
"2025-07-17",2228
"2025-07-18",2241
"2025-07-19",2833
"2025-07-20",2881
"2025-07-21",2278
"2025-07-22",2266
"2025-07-23",2234
"2025-07-24",2275
"2025-07-25",2290
"2025-07-26",2922
"2025-07-27",2899
"2025-07-28",2218
"2025-07-29",2244
"2025-07-30",2286
"2025-07-31",2326
"2025-08-01",2311
"2025-08-02",3015
"2025-08-03",2971
"2025-08-04",2254
"2025-08-05",2246
"2025-08-06",2172
"2025-08-07",2286
"2025-08-08",2296
"2025-08-09",2784
"2025-08-10",2887
"2025-08-11",2303
"2025-08-12",2257
"2025-08-13",2163
"2025-08-14",2196
"2025-08-15",2150
"2025-08-16",2763
"2025-08-17",2786
"2025-08-18",2180
"2025-08-19",2155
"2025-08-20",2133
"2025-08-21",2191
"2025-08-22",2149
"2025-08-23",2794
"2025-08-24",2725
"2025-08-25",2139
"2025-08-26",2163
"2025-08-27",2045
"2025-08-28",2063
"2025-08-29",2093
"2025-08-30",2798
"2025-08-31",2654
"2025-09-01",2025
