"date","dau","activity_level"
"2025-08-02",3015,"Peak Day"
"2025-08-03",2971,"Regular Day"
"2025-07-12",2926,"Regular Day"
"2025-07-26",2922,"Regular Day"
"2025-07-13",2903,"Regular Day"
"2025-07-27",2899,"Regular Day"
"2025-08-10",2887,"Regular Day"
"2025-07-20",2881,"Regular Day"
"2025-07-06",2861,"Regular Day"
"2025-07-05",2834,"Regular Day"
"2025-07-19",2833,"Regular Day"
"2025-08-30",2798,"Regular Day"
"2025-08-23",2794,"Regular Day"
"2025-08-17",2786,"Regular Day"
"2025-08-09",2784,"Regular Day"
"2025-08-16",2763,"Regular Day"
"2025-08-24",2725,"Regular Day"
"2025-08-31",2654,"Regular Day"
"2025-07-31",2326,"Regular Day"
"2025-08-01",2311,"Regular Day"
"2025-08-11",2303,"Regular Day"
"2025-08-08",2296,"Regular Day"
"2025-07-25",2290,"Regular Day"
"2025-08-07",2286,"Regular Day"
"2025-07-30",2286,"Regular Day"
"2025-07-21",2278,"Regular Day"
"2025-07-24",2275,"Regular Day"
"2025-07-11",2267,"Regular Day"
"2025-07-22",2266,"Regular Day"
"2025-08-12",2257,"Regular Day"
"2025-08-04",2254,"Regular Day"
"2025-07-16",2250,"Regular Day"
"2025-08-05",2246,"Regular Day"
"2025-07-29",2244,"Regular Day"
"2025-07-18",2241,"Regular Day"
"2025-07-14",2235,"Regular Day"
"2025-07-23",2234,"Regular Day"
"2025-07-17",2228,"Regular Day"
"2025-07-08",2225,"Regular Day"
"2025-07-28",2218,"Regular Day"
"2025-07-09",2214,"Regular Day"
"2025-07-04",2203,"Regular Day"
"2025-07-07",2202,"Regular Day"
"2025-07-15",2197,"Regular Day"
"2025-08-14",2196,"Regular Day"
"2025-08-21",2191,"Regular Day"
"2025-07-03",2189,"Regular Day"
"2025-08-18",2180,"Regular Day"
"2025-08-06",2172,"Regular Day"
"2025-08-26",2163,"Regular Day"
"2025-08-13",2163,"Regular Day"
"2025-08-19",2155,"Regular Day"
"2025-08-15",2150,"Regular Day"
"2025-08-22",2149,"Regular Day"
"2025-08-25",2139,"Regular Day"
"2025-08-20",2133,"Regular Day"
"2025-07-10",2120,"Regular Day"
"2025-08-29",2093,"Regular Day"
"2025-08-28",2063,"Regular Day"
"2025-08-27",2045,"Regular Day"
"2025-09-01",2025,"Low Day"
