"first_date","total_users","retained_users","weekly_retention_rate"
"2025-07-03","55860","6666","11.93"
"2025-07-04","26651","3236","12.14"
"2025-07-05","19460","2420","12.44"
"2025-07-06","11100","1379","12.42"
"2025-07-07","4639","596","12.85"
"2025-07-08","3495","446","12.76"
"2025-07-09","2745","376","13.70"
"2025-07-10","2040","283","13.87"
"2025-07-11","2171","276","12.71"
"2025-07-12","2178","291","13.36"
"2025-07-13","1801","230","12.77"
"2025-07-14","1110","149","13.42"
"2025-07-15","1066","139","13.04"
"2025-07-16","1130","158","13.98"
"2025-07-17","1001","145","14.49"
"2025-07-18","755","103","13.64"
"2025-07-19","871","135","15.50"
"2025-07-20","884","138","15.61"
"2025-07-21","694","111","15.99"
"2025-07-22","672","108","16.07"
"2025-07-23","567","97","17.11"
"2025-07-24","458","69","15.07"
"2025-07-25","575","89","15.48"
"2025-07-26","569","95","16.70"
"2025-07-27","534","88","16.48"
"2025-07-28","442","78","17.65"
"2025-07-29","344","65","18.90"
"2025-07-30","242","39","16.12"
"2025-07-31","471","89","18.90"
"2025-08-01","314","63","20.06"
"2025-08-02","363","72","19.83"
"2025-08-03","138","21","15.22"
"2025-08-04","133","21","15.79"
"2025-08-05","93","14","15.05"
"2025-08-06","65","5","7.69"
"2025-08-07","67","12","17.91"
"2025-08-08","63","10","15.87"
"2025-08-09","34","5","14.71"
"2025-08-10","32","4","12.50"
"2025-08-11","32","3","9.38"
"2025-08-12","25","3","12.00"
"2025-08-13","42","11","26.19"
"2025-08-14","39","10","25.64"
"2025-08-15","24","3","12.50"
"2025-08-16","10","1","10.00"
"2025-08-17","8","0","0.00"
"2025-08-18","19","1","5.26"
"2025-08-19","17","2","11.76"
"2025-08-20","8","1","12.50"
"2025-08-21","14","2","14.29"
"2025-08-22","14","2","14.29"
"2025-08-23","11","0","0.00"
"2025-08-24","18","4","22.22"
"2025-08-25","15","3","20.00"
"2025-08-26","10","2","20.00"
"2025-08-27","8","0","0.00"
"2025-08-28","8","0","0.00"
"2025-08-29","8","0","0.00"
"2025-08-30","10","0","0.00"
"2025-08-31","16","0","0.00"
"2025-09-01","11","0","0.00"
