"first_date","total_users","retained_users","month1st_retention_rate"
"2025-07-03","55860","27967","50.07"
"2025-07-04","26651","13497","50.64"
"2025-07-05","19460","9967","51.22"
"2025-07-06","11100","5597","50.42"
"2025-07-07","4639","2384","51.39"
"2025-07-08","3495","1795","51.36"
"2025-07-09","2745","1435","52.28"
"2025-07-10","2040","1095","53.68"
"2025-07-11","2171","1136","52.33"
"2025-07-12","2178","1211","55.60"
"2025-07-13","1801","967","53.69"
"2025-07-14","1110","622","56.04"
"2025-07-15","1066","616","57.79"
"2025-07-16","1130","652","57.70"
"2025-07-17","1001","598","59.74"
"2025-07-18","755","455","60.26"
"2025-07-19","871","538","61.77"
"2025-07-20","884","536","60.63"
"2025-07-21","694","434","62.54"
"2025-07-22","672","444","66.07"
"2025-07-23","567","374","65.96"
"2025-07-24","458","316","69.00"
"2025-07-25","575","398","69.22"
"2025-07-26","569","408","71.70"
"2025-07-27","534","390","73.03"
"2025-07-28","442","329","74.43"
"2025-07-29","344","260","75.58"
"2025-07-30","242","176","72.73"
"2025-07-31","471","387","82.17"
"2025-08-01","314","265","84.39"
"2025-08-02","363","297","81.82"
"2025-08-03","138","95","68.84"
"2025-08-04","133","90","67.67"
"2025-08-05","93","62","66.67"
"2025-08-06","65","38","58.46"
"2025-08-07","67","39","58.21"
"2025-08-08","63","38","60.32"
"2025-08-09","34","14","41.18"
"2025-08-10","32","16","50.00"
"2025-08-11","32","13","40.63"
"2025-08-12","25","14","56.00"
"2025-08-13","42","20","47.62"
"2025-08-14","39","20","51.28"
"2025-08-15","24","9","37.50"
"2025-08-16","10","2","20.00"
"2025-08-17","8","1","12.50"
"2025-08-18","19","5","26.32"
"2025-08-19","17","5","29.41"
"2025-08-20","8","1","12.50"
"2025-08-21","14","2","14.29"
"2025-08-22","14","2","14.29"
"2025-08-23","11","1","9.09"
"2025-08-24","18","4","22.22"
"2025-08-25","15","3","20.00"
"2025-08-26","10","2","20.00"
"2025-08-27","8","0","0.00"
"2025-08-28","8","0","0.00"
"2025-08-29","8","0","0.00"
"2025-08-30","10","0","0.00"
"2025-08-31","16","0","0.00"
"2025-09-01","11","0","0.00"
