"first_date","total_users","retained_users","month2nd_retention_rate"
"2025-07-03","55860","25704","46.02"
"2025-07-04","26651","11855","44.48"
"2025-07-05","19460","8370","43.01"
"2025-07-06","11100","4724","42.56"
"2025-07-07","4639","1858","40.05"
"2025-07-08","3495","1372","39.26"
"2025-07-09","2745","1067","38.87"
"2025-07-10","2040","717","35.15"
"2025-07-11","2171","821","37.82"
"2025-07-12","2178","743","34.11"
"2025-07-13","1801","615","34.15"
"2025-07-14","1110","362","32.61"
"2025-07-15","1066","333","31.24"
"2025-07-16","1130","344","30.44"
"2025-07-17","1001","291","29.07"
"2025-07-18","755","208","27.55"
"2025-07-19","871","239","27.44"
"2025-07-20","884","233","26.36"
"2025-07-21","694","176","25.36"
"2025-07-22","672","163","24.26"
"2025-07-23","567","129","22.75"
"2025-07-24","458","77","16.81"
"2025-07-25","575","99","17.22"
"2025-07-26","569","85","14.94"
"2025-07-27","534","75","14.04"
"2025-07-28","442","59","13.35"
"2025-07-29","344","36","10.47"
"2025-07-30","242","24","9.92"
"2025-07-31","471","26","5.52"
"2025-08-01","314","7","2.23"
"2025-08-02","363","0","0.00"
"2025-08-03","138","0","0.00"
"2025-08-04","133","0","0.00"
"2025-08-05","93","0","0.00"
"2025-08-06","65","0","0.00"
"2025-08-07","67","0","0.00"
"2025-08-08","63","0","0.00"
"2025-08-09","34","0","0.00"
"2025-08-10","32","0","0.00"
"2025-08-11","32","0","0.00"
"2025-08-12","25","0","0.00"
"2025-08-13","42","0","0.00"
"2025-08-14","39","0","0.00"
"2025-08-15","24","0","0.00"
"2025-08-16","10","0","0.00"
"2025-08-17","8","0","0.00"
"2025-08-18","19","0","0.00"
"2025-08-19","17","0","0.00"
"2025-08-20","8","0","0.00"
"2025-08-21","14","0","0.00"
"2025-08-22","14","0","0.00"
"2025-08-23","11","0","0.00"
"2025-08-24","18","0","0.00"
"2025-08-25","15","0","0.00"
"2025-08-26","10","0","0.00"
"2025-08-27","8","0","0.00"
"2025-08-28","8","0","0.00"
"2025-08-29","8","0","0.00"
"2025-08-30","10","0","0.00"
"2025-08-31","16","0","0.00"
"2025-09-01","11","0","0.00"
